Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Wed, Nov 4, 2015",8:00p,Orlando Magic,114,Houston Rockets,119,OT,"16,735",
"Wed, Nov 4, 2015",7:00p,Boston Celtics,98,Indiana Pacers,100,,"14,022",
"Wed, Nov 4, 2015",8:00p,Philadelphia 76ers,87,Milwaukee Bucks,91,,"12,437",
"Wed, Nov 4, 2015",8:00p,Toronto Raptors,103,Oklahoma City Thunder,98,,"18,203",
"Wed, Nov 4, 2015",9:00p,Sacramento Kings,97,Phoenix Suns,118,,"16,497",
"Wed, Nov 4, 2015",9:00p,Portland Trail Blazers,108,Utah Jazz,92,,"19,911",
"Wed, Nov 4, 2015",7:00p,San Antonio Spurs,99,Washington Wizards,102,,"17,721",
"Thu, Nov 5, 2015",8:00p,Oklahoma City Thunder,98,Chicago Bulls,104,,"21,861",
"Thu, Nov 5, 2015",8:30p,Charlotte Hornets,108,Dallas Mavericks,94,,"19,635",
"Thu, Nov 5, 2015",9:00p,Utah Jazz,96,Denver Nuggets,84,,"9,906",
"Thu, Nov 5, 2015",8:00p,Miami Heat,96,Minnesota Timberwolves,84,,"11,794",
"Thu, Nov 5, 2015",10:30p,Memphis Grizzlies,96,Portland Trail Blazers,115,,"19,393",
"Fri, Nov 6, 2015",7:30p,Washington Wizards,98,Boston Celtics,118,,"18,624",
"Fri, Nov 6, 2015",7:30p,Los Angeles Lakers,104,Brooklyn Nets,98,,"17,732",
"Fri, Nov 6, 2015",7:30p,Philadelphia 76ers,102,Cleveland Cavaliers,108,,"20,562",
"Fri, Nov 6, 2015",10:30p,Denver Nuggets,104,Golden State Warriors,119,,"19,596",
"Fri, Nov 6, 2015",8:00p,Miami Heat,87,Indiana Pacers,90,,"16,914",
"Fri, Nov 6, 2015",8:00p,Atlanta Hawks,121,New Orleans Pelicans,115,,"16,983",
"Fri, Nov 6, 2015",7:30p,Milwaukee Bucks,99,New York Knicks,92,,"19,812",
