Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Wed, Jan 18, 2017",10:30p,Oklahoma City Thunder,100,Golden State Warriors,121,,"19,596",
"Wed, Jan 18, 2017",8:00p,Milwaukee Bucks,92,Houston Rockets,111,,"15,782",
"Wed, Jan 18, 2017",8:00p,Orlando Magic,98,New Orleans Pelicans,118,,"15,818",
"Wed, Jan 18, 2017",7:00p,Toronto Raptors,89,Philadelphia 76ers,94,,"17,223",
"Wed, Jan 18, 2017",10:30p,Indiana Pacers,106,Sacramento Kings,100,,"17,608",
"Wed, Jan 18, 2017",7:00p,Memphis Grizzlies,101,Washington Wizards,104,,"15,079",
"Thu, Jan 19, 2017",7:00p,Phoenix Suns,103,Cleveland Cavaliers,118,,"20,562",
"Thu, Jan 19, 2017",10:30p,Minnesota Timberwolves,104,Los Angeles Clippers,101,,"19,060",
"Thu, Jan 19, 2017",7:30p,Dallas Mavericks,95,Miami Heat,99,,"19,600",
"Thu, Jan 19, 2017",8:00p,Washington Wizards,113,New York Knicks,110,,"19,812",
"Thu, Jan 19, 2017",8:30p,Denver Nuggets,104,San Antonio Spurs,118,,"18,418",
"Fri, Jan 20, 2017",8:00p,Chicago Bulls,93,Atlanta Hawks,102,,"16,328",
"Fri, Jan 20, 2017",7:00p,Toronto Raptors,78,Charlotte Hornets,113,,"18,378",
"Fri, Jan 20, 2017",8:30p,Utah Jazz,112,Dallas Mavericks,107,OT,"19,421",
"Fri, Jan 20, 2017",8:00p,Golden State Warriors,125,Houston Rockets,108,,"18,055",
"Fri, Jan 20, 2017",10:30p,Indiana Pacers,95,Los Angeles Lakers,108,,"18,997",
"Fri, Jan 20, 2017",8:00p,Sacramento Kings,91,Memphis Grizzlies,107,,"16,991",
"Fri, Jan 20, 2017",8:00p,Brooklyn Nets,143,New Orleans Pelicans,114,,"17,004",
"Fri, Jan 20, 2017",7:00p,Milwaukee Bucks,96,Orlando Magic,112,,"19,307",
"Fri, Jan 20, 2017",7:00p,Portland Trail Blazers,92,Philadelphia 76ers,93,,"19,476",
"Sat, Jan 21, 2017",7:00p,Philadelphia 76ers,93,Atlanta Hawks,110,,"15,116",
"Sat, Jan 21, 2017",5:00p,Portland Trail Blazers,127,Boston Celtics,123,OT,"18,624",
"Sat, Jan 21, 2017",9:00p,Sacramento Kings,99,Chicago Bulls,102,,"21,606",
"Sat, Jan 21, 2017",7:00p,Brooklyn Nets,105,Charlotte Hornets,112,,"18,583",
"Sat, Jan 21, 2017",8:30p,San Antonio Spurs,118,Cleveland Cavaliers,115,OT,"20,562",
"Sat, Jan 21, 2017",9:00p,Los Angeles Clippers,98,Denver Nuggets,123,,"16,056",
"Sat, Jan 21, 2017",6:00p,Washington Wizards,112,Detroit Pistons,113,,"18,231",
"Sat, Jan 21, 2017",8:00p,Houston Rockets,119,Memphis Grizzlies,95,,"18,119",
"Sat, Jan 21, 2017",7:30p,Milwaukee Bucks,97,Miami Heat,109,,"19,600",
"Sat, Jan 21, 2017",7:30p,Phoenix Suns,107,New York Knicks,105,,"19,812",
"Sat, Jan 21, 2017",9:00p,Indiana Pacers,100,Utah Jazz,109,,"19,911",
"Sun, Jan 22, 2017",3:30p,Los Angeles Lakers,73,Dallas Mavericks,122,,"19,484",
"Sun, Jan 22, 2017",7:00p,Denver Nuggets,108,Minnesota Timberwolves,111,,"12,788",
"Sun, Jan 22, 2017",12:00p,Golden State Warriors,118,Orlando Magic,98,,"18,846",
"Sun, Jan 22, 2017",6:00p,Phoenix Suns,115,Toronto Raptors,103,,"19,800",
"Mon, Jan 23, 2017",7:30p,Los Angeles Clippers,115,Atlanta Hawks,105,,"12,853",
"Mon, Jan 23, 2017",7:30p,San Antonio Spurs,112,Brooklyn Nets,86,,"16,643",
"Mon, Jan 23, 2017",7:00p,Washington Wizards,109,Charlotte Hornets,99,,"15,285",
"Mon, Jan 23, 2017",7:30p,Sacramento Kings,109,Detroit Pistons,104,,"14,017",
"Mon, Jan 23, 2017",8:00p,New York Knicks,109,Indiana Pacers,103,,"16,015",
"Mon, Jan 23, 2017",7:30p,Golden State Warriors,102,Miami Heat,105,,"19,600",
"Mon, Jan 23, 2017",8:00p,Houston Rockets,114,Milwaukee Bucks,127,,"14,016",
"Mon, Jan 23, 2017",8:00p,Cleveland Cavaliers,122,New Orleans Pelicans,124,,"17,758",
"Mon, Jan 23, 2017",9:00p,Oklahoma City Thunder,97,Utah Jazz,95,,"19,911",
"Tue, Jan 24, 2017",9:00p,Utah Jazz,93,Denver Nuggets,103,,"10,867",
"Tue, Jan 24, 2017",7:00p,Chicago Bulls,100,Orlando Magic,92,,"18,846",
"Tue, Jan 24, 2017",7:00p,Los Angeles Clippers,110,Philadelphia 76ers,121,,"17,591",
"Tue, Jan 24, 2017",9:00p,Minnesota Timberwolves,112,Phoenix Suns,111,,"17,241",
"Tue, Jan 24, 2017",7:00p,San Antonio Spurs,108,Toronto Raptors,106,,"19,800",
"Tue, Jan 24, 2017",7:00p,Boston Celtics,108,Washington Wizards,123,,"16,387",
"Wed, Jan 25, 2017",7:30p,Houston Rockets,109,Boston Celtics,120,,"18,624",
"Wed, Jan 25, 2017",7:30p,Miami Heat,109,Brooklyn Nets,106,,"14,929",
"Wed, Jan 25, 2017",8:00p,Atlanta Hawks,119,Chicago Bulls,114,,"21,445",
"Wed, Jan 25, 2017",8:00p,Golden State Warriors,113,Charlotte Hornets,103,,"19,639",
"Wed, Jan 25, 2017",7:00p,Sacramento Kings,116,Cleveland Cavaliers,112,OT,"20,562",
"Wed, Jan 25, 2017",8:30p,New York Knicks,95,Dallas Mavericks,103,,"19,750",
"Wed, Jan 25, 2017",8:00p,Toronto Raptors,99,Memphis Grizzlies,101,,"15,904",
"Wed, Jan 25, 2017",8:00p,Philadelphia 76ers,114,Milwaukee Bucks,109,,"13,663",
"Wed, Jan 25, 2017",8:00p,Oklahoma City Thunder,114,New Orleans Pelicans,105,,"15,277",
"Wed, Jan 25, 2017",10:30p,Los Angeles Lakers,98,Portland Trail Blazers,105,,"19,393",
"Thu, Jan 26, 2017",9:00p,Phoenix Suns,120,Denver Nuggets,127,,"12,231",
"Thu, Jan 26, 2017",8:00p,Indiana Pacers,109,Minnesota Timberwolves,103,,"14,862",
"Thu, Jan 26, 2017",8:00p,Dallas Mavericks,98,Oklahoma City Thunder,109,,"18,203",
"Thu, Jan 26, 2017",10:30p,Los Angeles Lakers,88,Utah Jazz,96,,"19,911",
"Fri, Jan 27, 2017",8:00p,Washington Wizards,112,Atlanta Hawks,86,,"16,968",
"Fri, Jan 27, 2017",7:30p,Orlando Magic,98,Boston Celtics,128,,"18,624",
"Fri, Jan 27, 2017",8:00p,Miami Heat,100,Chicago Bulls,88,,"22,082",
"Fri, Jan 27, 2017",7:30p,Brooklyn Nets,116,Cleveland Cavaliers,124,,"20,562",
"Fri, Jan 27, 2017",7:00p,Sacramento Kings,111,Indiana Pacers,115,OT,"17,522",
"Fri, Jan 27, 2017",8:00p,San Antonio Spurs,103,New Orleans Pelicans,119,,"17,757",
"Fri, Jan 27, 2017",7:30p,Charlotte Hornets,107,New York Knicks,110,,"19,812",
"Fri, Jan 27, 2017",8:00p,Houston Rockets,123,Philadelphia 76ers,118,,"20,588",
"Fri, Jan 27, 2017",10:00p,Memphis Grizzlies,109,Portland Trail Blazers,112,,"19,558",
"Fri, Jan 27, 2017",7:30p,Milwaukee Bucks,86,Toronto Raptors,102,,"19,800",
"Sat, Jan 28, 2017",7:00p,Sacramento Kings,109,Charlotte Hornets,106,,"18,597",
"Sat, Jan 28, 2017",8:30p,Los Angeles Clippers,98,Golden State Warriors,144,,"19,596",
"Sat, Jan 28, 2017",7:30p,Detroit Pistons,103,Miami Heat,116,,"19,600",
"Sat, Jan 28, 2017",8:00p,Boston Celtics,112,Milwaukee Bucks,108,OT,"18,717",
"Sat, Jan 28, 2017",9:00p,Brooklyn Nets,109,Minnesota Timberwolves,129,,"14,798",
"Sat, Jan 28, 2017",9:00p,Denver Nuggets,123,Phoenix Suns,112,,"18,055",
"Sat, Jan 28, 2017",9:00p,Memphis Grizzlies,102,Utah Jazz,95,,"19,911",
"Sun, Jan 29, 2017",3:00p,New York Knicks,139,Atlanta Hawks,142,4OT,"13,643",
"Sun, Jan 29, 2017",7:00p,Philadelphia 76ers,108,Chicago Bulls,121,,"21,606",
"Sun, Jan 29, 2017",3:30p,Oklahoma City Thunder,91,Cleveland Cavaliers,107,,"20,562",
"Sun, Jan 29, 2017",6:00p,Houston Rockets,101,Indiana Pacers,120,,"17,923",
"Sun, Jan 29, 2017",6:00p,Washington Wizards,107,New Orleans Pelicans,94,,"16,779",
"Sun, Jan 29, 2017",9:00p,Golden State Warriors,113,Portland Trail Blazers,111,,"19,393",
"Sun, Jan 29, 2017",7:00p,Dallas Mavericks,105,San Antonio Spurs,101,,"18,418",
"Sun, Jan 29, 2017",6:00p,Orlando Magic,114,Toronto Raptors,113,,"19,800",
"Mon, Jan 30, 2017",8:00p,Detroit Pistons,109,Boston Celtics,113,,"18,188",
"Mon, Jan 30, 2017",8:30p,Cleveland Cavaliers,97,Dallas Mavericks,104,,"20,202",
"Mon, Jan 30, 2017",7:30p,Brooklyn Nets,96,Miami Heat,104,,"19,600",
"Mon, Jan 30, 2017",8:00p,Orlando Magic,105,Minnesota Timberwolves,111,OT,"11,124",
"Mon, Jan 30, 2017",6:00p,Sacramento Kings,119,Philadelphia 76ers,122,,"15,840",
"Mon, Jan 30, 2017",10:30p,Memphis Grizzlies,115,Phoenix Suns,96,,"16,332",
"Tue, Jan 31, 2017",8:00p,Sacramento Kings,83,Houston Rockets,105,,"15,187",
"Tue, Jan 31, 2017",10:30p,Denver Nuggets,116,Los Angeles Lakers,120,,"18,997",
"Tue, Jan 31, 2017",10:00p,Charlotte Hornets,98,Portland Trail Blazers,115,,"19,393",
"Tue, Jan 31, 2017",8:30p,Oklahoma City Thunder,94,San Antonio Spurs,108,,"18,418",
"Tue, Jan 31, 2017",7:00p,New Orleans Pelicans,106,Toronto Raptors,108,OT,"19,800",
"Tue, Jan 31, 2017",7:00p,New York Knicks,101,Washington Wizards,117,,"16,683",
"Wed, Feb 1, 2017",7:30p,Toronto Raptors,104,Boston Celtics,109,,"18,624",
"Wed, Feb 1, 2017",7:30p,New York Knicks,95,Brooklyn Nets,90,,"17,732",
"Wed, Feb 1, 2017",7:00p,Minnesota Timberwolves,97,Cleveland Cavaliers,125,,"20,562",
"Wed, Feb 1, 2017",8:30p,Philadelphia 76ers,95,Dallas Mavericks,113,,"19,263",
"Wed, Feb 1, 2017",9:00p,Memphis Grizzlies,119,Denver Nuggets,99,,"12,020",
"Wed, Feb 1, 2017",7:30p,New Orleans Pelicans,98,Detroit Pistons,118,,"14,262",
"Wed, Feb 1, 2017",10:30p,Charlotte Hornets,111,Golden State Warriors,126,,"19,596",
"Wed, Feb 1, 2017",7:30p,Atlanta Hawks,93,Miami Heat,116,,"19,600",
"Wed, Feb 1, 2017",9:30p,Chicago Bulls,128,Oklahoma City Thunder,100,,"18,203",
"Wed, Feb 1, 2017",7:00p,Indiana Pacers,98,Orlando Magic,88,,"16,662",
"Wed, Feb 1, 2017",9:00p,Los Angeles Clippers,124,Phoenix Suns,114,,"16,191",
"Wed, Feb 1, 2017",9:00p,Milwaukee Bucks,88,Utah Jazz,104,,"19,694",
"Thu, Feb 2, 2017",8:00p,Atlanta Hawks,113,Houston Rockets,108,,"15,602",
"Thu, Feb 2, 2017",10:30p,Golden State Warriors,133,Los Angeles Clippers,120,,"19,385",
"Thu, Feb 2, 2017",8:30p,Philadelphia 76ers,86,San Antonio Spurs,102,,"18,418",
"Thu, Feb 2, 2017",7:00p,Los Angeles Lakers,108,Washington Wizards,116,,"16,473",
"Fri, Feb 3, 2017",8:00p,Los Angeles Lakers,107,Boston Celtics,113,,"18,624",
"Fri, Feb 3, 2017",7:30p,Indiana Pacers,106,Brooklyn Nets,97,,"14,557",
"Fri, Feb 3, 2017",9:00p,Milwaukee Bucks,117,Denver Nuggets,121,,"18,792",
"Fri, Feb 3, 2017",7:30p,Minnesota Timberwolves,108,Detroit Pistons,116,,"16,934",
"Fri, Feb 3, 2017",8:00p,Chicago Bulls,117,Houston Rockets,121,OT,"18,055",
"Fri, Feb 3, 2017",8:00p,Memphis Grizzlies,102,Oklahoma City Thunder,114,,"18,203",
"Fri, Feb 3, 2017",7:00p,Toronto Raptors,94,Orlando Magic,102,,"17,141",
"Fri, Feb 3, 2017",10:30p,Dallas Mavericks,108,Portland Trail Blazers,104,,"19,393",
"Fri, Feb 3, 2017",10:30p,Phoenix Suns,105,Sacramento Kings,103,,"17,608",
"Sat, Feb 4, 2017",7:00p,Orlando Magic,86,Atlanta Hawks,113,,"16,691",
"Sat, Feb 4, 2017",7:00p,Detroit Pistons,84,Indiana Pacers,105,,"17,660",
"Sat, Feb 4, 2017",7:30p,Philadelphia 76ers,102,Miami Heat,125,,"19,754",
"Sat, Feb 4, 2017",9:00p,Memphis Grizzlies,107,Minnesota Timberwolves,99,,"15,081",
"Sat, Feb 4, 2017",8:30p,Cleveland Cavaliers,111,New York Knicks,104,,"19,812",
"Sat, Feb 4, 2017",9:00p,Milwaukee Bucks,137,Phoenix Suns,112,,"17,192",
"Sat, Feb 4, 2017",10:30p,Golden State Warriors,106,Sacramento Kings,109,OT,"17,608",
"Sat, Feb 4, 2017",9:00p,Denver Nuggets,97,San Antonio Spurs,121,,"18,418",
"Sat, Feb 4, 2017",9:00p,Charlotte Hornets,98,Utah Jazz,105,,"19,911",
"Sat, Feb 4, 2017",7:00p,New Orleans Pelicans,91,Washington Wizards,105,,"19,651",
"Sun, Feb 5, 2017",2:00p,Los Angeles Clippers,102,Boston Celtics,107,,"18,624",
"Sun, Feb 5, 2017",12:00p,Toronto Raptors,103,Brooklyn Nets,95,,"14,245",
"Sun, Feb 5, 2017",3:00p,Portland Trail Blazers,99,Oklahoma City Thunder,105,,"18,203",
"Mon, Feb 6, 2017",7:30p,Utah Jazz,120,Atlanta Hawks,95,,"13,126",
"Mon, Feb 6, 2017",9:00p,Dallas Mavericks,87,Denver Nuggets,110,,"13,047",
"Mon, Feb 6, 2017",7:30p,Philadelphia 76ers,96,Detroit Pistons,113,,"14,731",
"Mon, Feb 6, 2017",7:00p,Oklahoma City Thunder,90,Indiana Pacers,93,,"16,123",
"Mon, Feb 6, 2017",9:30p,San Antonio Spurs,74,Memphis Grizzlies,89,,"16,708",
"Mon, Feb 6, 2017",8:00p,Miami Heat,115,Minnesota Timberwolves,113,,"12,502",
"Mon, Feb 6, 2017",8:00p,Phoenix Suns,106,New Orleans Pelicans,111,,"15,888",
"Mon, Feb 6, 2017",7:00p,Los Angeles Lakers,121,New York Knicks,107,,"19,812",
"Mon, Feb 6, 2017",10:30p,Chicago Bulls,112,Sacramento Kings,107,,"17,608",
"Mon, Feb 6, 2017",7:30p,Los Angeles Clippers,109,Toronto Raptors,118,,"19,800",
"Mon, Feb 6, 2017",7:00p,Cleveland Cavaliers,140,Washington Wizards,135,OT,"20,356",
"Tue, Feb 7, 2017",7:00p,Brooklyn Nets,107,Charlotte Hornets,111,,"15,322",
"Tue, Feb 7, 2017",8:30p,Portland Trail Blazers,114,Dallas Mavericks,113,,"19,326",
"Tue, Feb 7, 2017",8:00p,Orlando Magic,104,Houston Rockets,128,,"15,514",
"Wed, Feb 8, 2017",7:30p,Denver Nuggets,106,Atlanta Hawks,117,,"14,222",
"Wed, Feb 8, 2017",7:30p,Washington Wizards,114,Brooklyn Nets,110,OT,"13,179",
"Wed, Feb 8, 2017",7:30p,Los Angeles Lakers,102,Detroit Pistons,121,,"15,121",
"Wed, Feb 8, 2017",10:30p,Chicago Bulls,92,Golden State Warriors,123,,"19,596",
"Wed, Feb 8, 2017",7:00p,Cleveland Cavaliers,132,Indiana Pacers,117,,"17,580",
"Wed, Feb 8, 2017",8:00p,Phoenix Suns,91,Memphis Grizzlies,110,,"16,044",
"Wed, Feb 8, 2017",8:00p,Miami Heat,106,Milwaukee Bucks,88,,"14,211",
"Wed, Feb 8, 2017",8:00p,Toronto Raptors,109,Minnesota Timberwolves,112,,"13,832",
"Wed, Feb 8, 2017",8:00p,Utah Jazz,127,New Orleans Pelicans,94,,"14,508",
"Wed, Feb 8, 2017",8:00p,Los Angeles Clippers,119,New York Knicks,115,,"19,812",
"Wed, Feb 8, 2017",7:00p,San Antonio Spurs,111,Philadelphia 76ers,103,,"19,233",
"Wed, Feb 8, 2017",10:30p,Boston Celtics,92,Sacramento Kings,108,,"17,608",
"Thu, Feb 9, 2017",7:00p,Houston Rockets,107,Charlotte Hornets,95,,"16,270",
"Thu, Feb 9, 2017",8:30p,Utah Jazz,105,Dallas Mavericks,112,OT,"19,883",
"Thu, Feb 9, 2017",8:00p,Cleveland Cavaliers,109,Oklahoma City Thunder,118,,"18,203",
"Thu, Feb 9, 2017",7:00p,Philadelphia 76ers,112,Orlando Magic,111,,"17,829",
"Thu, Feb 9, 2017",10:30p,Boston Celtics,120,Portland Trail Blazers,111,,"19,393",
"Fri, Feb 10, 2017",7:30p,Miami Heat,108,Brooklyn Nets,99,,"15,382",
"Fri, Feb 10, 2017",7:30p,San Antonio Spurs,103,Detroit Pistons,92,,"17,222",
"Fri, Feb 10, 2017",8:00p,Golden State Warriors,122,Memphis Grizzlies,107,,"18,119",
"Fri, Feb 10, 2017",8:00p,Los Angeles Lakers,122,Milwaukee Bucks,114,,"16,380",
"Fri, Feb 10, 2017",8:00p,New Orleans Pelicans,122,Minnesota Timberwolves,106,,"16,093",
"Fri, Feb 10, 2017",7:30p,Denver Nuggets,131,New York Knicks,123,,"19,812",
"Fri, Feb 10, 2017",10:30p,Chicago Bulls,97,Phoenix Suns,115,,"18,055",
"Fri, Feb 10, 2017",10:30p,Atlanta Hawks,107,Sacramento Kings,108,,"17,608",
"Fri, Feb 10, 2017",8:00p,Indiana Pacers,107,Washington Wizards,112,,"19,503",
"Sat, Feb 11, 2017",5:00p,Los Angeles Clippers,107,Charlotte Hornets,102,,"19,483",
"Sat, Feb 11, 2017",7:30p,Denver Nuggets,109,Cleveland Cavaliers,125,,"20,562",
"Sat, Feb 11, 2017",9:00p,Orlando Magic,80,Dallas Mavericks,112,,"20,052",
"Sat, Feb 11, 2017",9:00p,Phoenix Suns,102,Houston Rockets,133,,"18,055",
"Sat, Feb 11, 2017",7:00p,Milwaukee Bucks,116,Indiana Pacers,100,,"17,923",
"Sat, Feb 11, 2017",8:30p,Golden State Warriors,130,Oklahoma City Thunder,114,,"18,203",
"Sat, Feb 11, 2017",7:30p,Miami Heat,109,Philadelphia 76ers,117,,"20,698",
"Sat, Feb 11, 2017",10:00p,Boston Celtics,112,Utah Jazz,104,,"19,911",
"Sun, Feb 12, 2017",3:30p,Chicago Bulls,89,Minnesota Timberwolves,117,,"19,356",
"Sun, Feb 12, 2017",3:30p,San Antonio Spurs,90,New York Knicks,94,,"19,812",
"Sun, Feb 12, 2017",9:00p,New Orleans Pelicans,99,Sacramento Kings,105,,"17,608",
"Sun, Feb 12, 2017",6:00p,Detroit Pistons,102,Toronto Raptors,101,,"19,800",
"Mon, Feb 13, 2017",7:30p,Memphis Grizzlies,112,Brooklyn Nets,103,,"13,597",
"Mon, Feb 13, 2017",7:00p,Philadelphia 76ers,105,Charlotte Hornets,99,,"15,775",
"Mon, Feb 13, 2017",8:30p,Boston Celtics,111,Dallas Mavericks,98,,"20,159",
"Mon, Feb 13, 2017",9:00p,Golden State Warriors,110,Denver Nuggets,132,,"19,941",
"Mon, Feb 13, 2017",7:00p,San Antonio Spurs,110,Indiana Pacers,106,,"15,203",
"Mon, Feb 13, 2017",7:30p,Orlando Magic,116,Miami Heat,107,,"19,600",
"Mon, Feb 13, 2017",8:00p,Detroit Pistons,89,Milwaukee Bucks,102,,"13,397",
"Mon, Feb 13, 2017",9:00p,New Orleans Pelicans,110,Phoenix Suns,108,,"16,321",
"Mon, Feb 13, 2017",10:30p,Atlanta Hawks,109,Portland Trail Blazers,104,OT,"19,475",
"Mon, Feb 13, 2017",9:00p,Los Angeles Clippers,88,Utah Jazz,72,,"19,521",
"Mon, Feb 13, 2017",8:00p,Oklahoma City Thunder,98,Washington Wizards,120,,"20,356",
"Tue, Feb 14, 2017",8:00p,Toronto Raptors,94,Chicago Bulls,105,,"21,220",
"Tue, Feb 14, 2017",10:30p,Sacramento Kings,97,Los Angeles Lakers,96,,"19,997",
"Tue, Feb 14, 2017",8:00p,Cleveland Cavaliers,116,Minnesota Timberwolves,108,,"17,738",
"Wed, Feb 15, 2017",7:30p,Philadelphia 76ers,108,Boston Celtics,116,,"18,624",
"Wed, Feb 15, 2017",7:30p,Milwaukee Bucks,129,Brooklyn Nets,125,,"16,182",
"Wed, Feb 15, 2017",7:00p,Indiana Pacers,104,Cleveland Cavaliers,113,,"20,562",
"Wed, Feb 15, 2017",9:00p,Minnesota Timberwolves,112,Denver Nuggets,99,,"13,924",
"Wed, Feb 15, 2017",7:30p,Dallas Mavericks,91,Detroit Pistons,98,,"13,549",
"Wed, Feb 15, 2017",10:30p,Sacramento Kings,86,Golden State Warriors,109,,"19,596",
"Wed, Feb 15, 2017",8:00p,Miami Heat,117,Houston Rockets,109,,"16,967",
"Wed, Feb 15, 2017",10:30p,Atlanta Hawks,84,Los Angeles Clippers,99,,"19,060",
"Wed, Feb 15, 2017",8:00p,New Orleans Pelicans,95,Memphis Grizzlies,91,,"16,145",
"Wed, Feb 15, 2017",9:30p,New York Knicks,105,Oklahoma City Thunder,116,,"18,203",
"Wed, Feb 15, 2017",7:00p,San Antonio Spurs,107,Orlando Magic,79,,"17,101",
"Wed, Feb 15, 2017",9:00p,Los Angeles Lakers,101,Phoenix Suns,137,,"18,055",
"Wed, Feb 15, 2017",7:30p,Charlotte Hornets,85,Toronto Raptors,90,,"19,800",
"Wed, Feb 15, 2017",9:00p,Portland Trail Blazers,88,Utah Jazz,111,,"19,590",
"Thu, Feb 16, 2017",8:00p,Boston Celtics,103,Chicago Bulls,104,,"21,866",
"Thu, Feb 16, 2017",7:00p,Washington Wizards,111,Indiana Pacers,98,,"17,233",
"Thu, Feb 23, 2017",8:00p,New York Knicks,104,Cleveland Cavaliers,119,,"20,562",
"Thu, Feb 23, 2017",7:30p,Charlotte Hornets,108,Detroit Pistons,114,OT,"14,913",
"Thu, Feb 23, 2017",10:30p,Los Angeles Clippers,113,Golden State Warriors,123,,"19,596",
"Thu, Feb 23, 2017",8:00p,Houston Rockets,129,New Orleans Pelicans,99,,"18,470",
"Thu, Feb 23, 2017",7:00p,Portland Trail Blazers,112,Orlando Magic,103,,"17,487",
"Thu, Feb 23, 2017",10:30p,Denver Nuggets,100,Sacramento Kings,116,,"17,608",
"Fri, Feb 24, 2017",8:00p,Miami Heat,108,Atlanta Hawks,90,,"18,122",
"Fri, Feb 24, 2017",8:00p,Phoenix Suns,121,Chicago Bulls,128,OT,"21,641",
"Fri, Feb 24, 2017",9:00p,Brooklyn Nets,109,Denver Nuggets,129,,"17,143",
"Fri, Feb 24, 2017",7:00p,Memphis Grizzlies,92,Indiana Pacers,102,,"17,923",
"Fri, Feb 24, 2017",10:30p,San Antonio Spurs,105,Los Angeles Clippers,97,,"19,060",
"Fri, Feb 24, 2017",8:00p,Utah Jazz,109,Milwaukee Bucks,95,,"16,064",
"Fri, Feb 24, 2017",8:00p,Dallas Mavericks,84,Minnesota Timberwolves,97,,"15,948",
"Fri, Feb 24, 2017",8:00p,Los Angeles Lakers,93,Oklahoma City Thunder,110,,"18,203",
"Fri, Feb 24, 2017",7:00p,Washington Wizards,112,Philadelphia 76ers,120,,"19,277",
"Fri, Feb 24, 2017",8:00p,Boston Celtics,97,Toronto Raptors,107,,"19,800",
"Sat, Feb 25, 2017",8:30p,Chicago Bulls,117,Cleveland Cavaliers,99,,"20,562",
"Sat, Feb 25, 2017",8:30p,New Orleans Pelicans,83,Dallas Mavericks,96,,"20,411",
"Sat, Feb 25, 2017",10:30p,Brooklyn Nets,95,Golden State Warriors,112,,"19,596",
"Sat, Feb 25, 2017",9:00p,Minnesota Timberwolves,130,Houston Rockets,142,,"18,055",
"Sat, Feb 25, 2017",8:00p,Indiana Pacers,95,Miami Heat,113,,"19,600",
"Sat, Feb 25, 2017",7:30p,Philadelphia 76ers,109,New York Knicks,110,,"19,812",
"Sat, Feb 25, 2017",7:00p,Atlanta Hawks,86,Orlando Magic,105,,"18,498",
"Sat, Feb 25, 2017",5:00p,Charlotte Hornets,99,Sacramento Kings,85,,"17,608",
"Sun, Feb 26, 2017",5:00p,Memphis Grizzlies,105,Denver Nuggets,98,,"18,024",
"Sun, Feb 26, 2017",6:00p,Boston Celtics,104,Detroit Pistons,98,,"20,141",
"Sun, Feb 26, 2017",9:30p,Charlotte Hornets,121,Los Angeles Clippers,124,OT,"19,060",
"Sun, Feb 26, 2017",3:30p,San Antonio Spurs,119,Los Angeles Lakers,98,,"18,997",
"Sun, Feb 26, 2017",3:30p,Phoenix Suns,96,Milwaukee Bucks,100,,"16,051",
"Sun, Feb 26, 2017",7:00p,New Orleans Pelicans,110,Oklahoma City Thunder,118,,"18,203",
"Sun, Feb 26, 2017",6:00p,Portland Trail Blazers,106,Toronto Raptors,112,,"19,800",
"Sun, Feb 26, 2017",5:00p,Utah Jazz,102,Washington Wizards,92,,"19,648",
"Mon, Feb 27, 2017",7:30p,Atlanta Hawks,114,Boston Celtics,98,,"18,624",
"Mon, Feb 27, 2017",7:00p,Milwaukee Bucks,95,Cleveland Cavaliers,102,,"20,562",
"Mon, Feb 27, 2017",8:30p,Miami Heat,89,Dallas Mavericks,96,,"19,539",
"Mon, Feb 27, 2017",9:30p,Indiana Pacers,117,Houston Rockets,108,,"18,055",
"Mon, Feb 27, 2017",7:00p,Toronto Raptors,92,New York Knicks,91,,"19,812",
"Mon, Feb 27, 2017",7:00p,Golden State Warriors,119,Philadelphia 76ers,108,,"20,585",
"Mon, Feb 27, 2017",10:30p,Minnesota Timberwolves,102,Sacramento Kings,88,,"17,608",
"Tue, Feb 28, 2017",8:00p,Denver Nuggets,125,Chicago Bulls,107,,"21,015",
"Tue, Feb 28, 2017",7:30p,Portland Trail Blazers,113,Detroit Pistons,120,OT,"13,502",
"Tue, Feb 28, 2017",10:30p,Charlotte Hornets,109,Los Angeles Lakers,104,,"18,997",
"Tue, Feb 28, 2017",8:00p,Phoenix Suns,112,Memphis Grizzlies,130,,"15,871",
"Tue, Feb 28, 2017",8:00p,Utah Jazz,106,Oklahoma City Thunder,109,,"18,203",
"Tue, Feb 28, 2017",7:00p,Golden State Warriors,108,Washington Wizards,112,,"20,356",
"Wed, Mar 1, 2017",7:30p,Dallas Mavericks,95,Atlanta Hawks,100,,"12,483",
"Wed, Mar 1, 2017",8:00p,Cleveland Cavaliers,99,Boston Celtics,103,,"18,624",
"Wed, Mar 1, 2017",10:30p,Houston Rockets,122,Los Angeles Clippers,103,,"19,060",
"Wed, Mar 1, 2017",7:30p,Philadelphia 76ers,98,Miami Heat,125,,"19,609",
"Wed, Mar 1, 2017",8:00p,Denver Nuggets,110,Milwaukee Bucks,98,,"13,214",
"Wed, Mar 1, 2017",8:00p,Detroit Pistons,86,New Orleans Pelicans,109,,"14,406",
"Wed, Mar 1, 2017",7:00p,New York Knicks,101,Orlando Magic,90,,"16,005",
"Wed, Mar 1, 2017",10:30p,Brooklyn Nets,109,Sacramento Kings,100,,"17,608",
"Wed, Mar 1, 2017",8:30p,Indiana Pacers,99,San Antonio Spurs,100,,"18,418",
"Wed, Mar 1, 2017",7:30p,Washington Wizards,105,Toronto Raptors,96,,"19,800",
"Wed, Mar 1, 2017",9:00p,Minnesota Timberwolves,107,Utah Jazz,80,,"19,127",
