attendance,description,eventPhase,kc,matchId,outcome,event_title,venue_name,venue_city,venue_country,team_1,team_2,team_1_score,team_2_score,local_time
0.0,Match 8,Pool A,,26780.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,New Zealand 7s,Zimbabwe 7s,35.0,0.0,2018-12-08 14:49:00
0.0,Match 7,Pool A,,26779.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,South Africa 7s,Samoa 7s,22.0,12.0,2018-12-08 14:27:00
0.0,Match 6,Pool B,,26778.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,USA 7s,Japan 7s,54.0,0.0,2018-12-08 14:05:00
0.0,Match 5,Pool B,,26777.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Argentina 7s,Spain 7s,12.0,35.0,2018-12-08 13:43:00
0.0,Match 4,Pool C,,26776.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,England 7s,Kenya 7s,29.0,12.0,2018-12-08 13:21:00
0.0,Match 3,Pool C,,26775.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Fiji 7s,France 7s,50.0,0.0,2018-12-08 12:59:00
0.0,Match 2,Pool D,,26774.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Australia 7s,Wales 7s,21.0,14.0,2018-12-08 12:37:00
0.0,Match 1,Pool D,,26773.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Scotland 7s,Canada 7s,21.0,14.0,2018-12-08 12:15:00
0.0,Match 1,,,26771.0,B,Oceania Rugby U20 Trophy 2018,Apia Park,Apia,Samoa,Samoa U20,Tonga U20,12.0,16.0,2018-12-05 05:00:00
0.0,Match 45,Cup Final,,26767.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,USA 7s,21.0,5.0,2018-12-01 23:29:00
0.0,Match 44,Bronze Final,,26766.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,England 7s,Australia 7s,15.0,14.0,2018-12-01 23:04:00
0.0,Match 43,5th Place Play-Off,,26765.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,South Africa 7s,Fiji 7s,19.0,24.0,2018-12-01 22:40:00
0.0,Match 42,Challenge Trophy Final,,26764.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Samoa 7s,France 7s,33.0,24.0,2018-12-01 22:15:00
0.0,Match 41,13th Place Play-Off,,26763.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Japan 7s,Wales 7s,7.0,31.0,2018-12-01 21:53:00
0.0,Match 40,Cup Semi Finals,,26762.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,USA 7s,17.0,22.0,2018-12-01 20:39:00
0.0,Match 39,Cup Semi Finals,,26761.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,England 7s,New Zealand 7s,5.0,7.0,2018-12-01 20:17:00
0.0,Match 38,5th Place Semi Final,,26760.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Argentina 7s,Fiji 7s,21.0,31.0,2018-12-01 19:55:00
0.0,Match 37,5th Place Semi Final,,26759.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,South Africa 7s,Scotland 7s,29.0,0.0,2018-12-01 19:33:00
0.0,,,,26277.0,A,2018 Killik Cup,Twickenham,London,England,Barbarians,Argentina,38.0,35.0,2018-12-01 14:30:00
0.0,Match 35,Challenge Trophy Semi Finals,,26757.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Samoa 7s,Spain 7s,26.0,22.0,2018-12-01 18:22:00
0.0,Match 34,13th Place Semi Final,,26756.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Zimbabwe 7s,Wales 7s,10.0,14.0,2018-12-01 18:00:00
0.0,Match 33,13th Place Semi Final,,26755.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Japan 7s,Kenya 7s,26.0,19.0,2018-12-01 17:38:00
0.0,Match 32,Cup Quarter Finals,,26754.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Fiji 7s,USA 7s,14.0,24.0,2018-12-01 16:06:00
0.0,Match 31,Cup Quarter Finals,,26753.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,Argentina 7s,38.0,0.0,2018-12-01 15:44:00
0.0,Match 30,Cup Quarter Finals,,26752.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Scotland 7s,21.0,7.0,2018-12-01 15:22:00
0.0,Match 29,Cup Quarter Finals,,26751.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,South Africa 7s,England 7s,5.0,22.0,2018-12-01 15:00:00
0.0,Match 28,Challenge Trophy Quarter Finals,,26750.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,France 7s,Wales 7s,38.0,17.0,2018-12-01 14:36:00
0.0,Match 27,Challenge Trophy Quarter Finals,,26749.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Canada 7s,Zimbabwe 7s,38.0,5.0,2018-12-01 14:14:00
0.0,Match 26,Challenge Trophy Quarter Finals,,26748.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Spain 7s,Kenya 7s,26.0,19.0,2018-12-01 13:52:00
0.0,Match 25,Challenge Trophy Quarter Finals,,26747.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Samoa 7s,Japan 7s,40.0,12.0,2018-12-01 13:30:00
0.0,Match 36,Challenge Trophy Semi Finals,,26758.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Canada 7s,France 7s,12.0,28.0,2018-12-01 06:44:00
0.0,Match 24,Pool D,,26746.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,England 7s,22.0,19.0,2018-12-01 00:37:00
0.0,Match 23,Pool D,,26745.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Canada 7s,Japan 7s,27.0,7.0,2018-12-01 00:15:00
0.0,Match 12,Pool B,,26734.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Fiji 7s,Scotland 7s,21.0,19.0,2018-12-01 00:06:00
0.0,Match 22,Pool A,,26744.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,South Africa 7s,Argentina 7s,12.0,17.0,2018-11-30 23:53:00
0.0,Match 21,Pool A,,26743.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Samoa 7s,Zimbabwe 7s,17.0,15.0,2018-11-30 23:31:00
